task_id,title,description,category,location_name,latitude,longitude,difficulty,estimated_duration,prerequisites,rewards,status,created_at,updated_at,npc_id,course_code
NT001,整理图书资源,对图书馆内的书籍进行分类和上架，学习图书管理流程,学术研究,Run Run Shaw Library,22.336,114.1705,初级,60,无,学分+1,active,2025-09-01T09:00:00Z,2025-09-01T09:00:00Z,NPC101,LIB1001
NT002,媒体设备维护,检查并更新创意媒体中心的多媒体设备,实验任务,Run Run Shaw Creative Media Centre,22.3365,114.172,中级,90,无,实践经验,active,2025-09-02T10:00:00Z,2025-09-02T10:00:00Z,NPC102,CMC2002
NT003,教学楼清洁志愿服务,参与杨建文教学楼的教室整理和清洁工作,志愿服务,Yeung Kin Man Academic Building,22.3358,114.1702,初级,120,无,志愿时长+2小时,active,2025-09-03T14:00:00Z,2025-09-03T14:00:00Z,NPC103,
NT004,楼层设备维修,协助检查刘铭瑋教学楼的电梯与公共设施,后勤支持,Lau Ming Wai Academic Building,22.3362,114.171,中级,180,无,技能徽章,active,2025-09-04T11:00:00Z,2025-09-04T11:00:00Z,NPC104,ENG3005
NT005,入口导览服务,在校园主入口为访客提供导览服务，介绍校园历史与建筑,志愿服务,CityU Main Entrance,22.335,114.17,初级,60,无,志愿时长+1小时,active,2025-09-05T08:30:00Z,2025-09-05T08:30:00Z,NPC105,
NT006,宿舍区迎新活动,参与宿舍迎新活动，帮助新生熟悉环境,社团活动,Student Residence Halls,22.338,114.173,初级,60,无,经验值,active,2025-09-06T09:00:00Z,2025-09-06T09:00:00Z,NPC106,
NT007,运动场跑步训练,在运动场完成教练布置的训练任务,体育锻炼,CityU Sports Complex,22.337,114.1715,初级,60,无,经验值,active,2025-09-06T09:00:00Z,2025-09-06T09:00:00Z,NPC107,
NT008,食堂志愿服务,协助食堂分发餐食，维持秩序,志愿服务,CityU Canteen,22.3367,114.1708,初级,60,无,经验值,active,2025-09-06T09:00:00Z,2025-09-06T09:00:00Z,NPC108,
NT009,信息日解说,为来访的中学生和家长提供课程解说,志愿服务,CityU Info Day Booth,22.3359,114.1718,初级,60,无,经验值,active,2025-09-06T09:00:00Z,2025-09-06T09:00:00Z,NPC109,
NT010,文化广场演出,在文化广场参加社团表演,社团活动,CityU Cultural Square,22.3364,114.1699,初级,60,无,经验值,active,2025-09-06T09:00:00Z,2025-09-06T09:00:00Z,NPC110,
NT011,实验楼课程项目,完成指定的实验任务并提交报告,学术研究,CityU Science Building,22.3356,114.1712,中级,90,无,学分+2,active,2025-09-06T09:00:00Z,2025-09-06T09:00:00Z,NPC111,
NT012,工程楼设计大赛,参加工程学院设计比赛，展示创新作品,竞赛活动,CityU Engineering Building,22.3369,114.1722,中级,90,无,经验值,active,2025-09-06T09:00:00Z,2025-09-06T09:00:00Z,NPC112,
NT013,商学院案例讨论,完成小组讨论并提交案例分析报告,学术研究,CityU Business School,22.3363,114.1704,初级,60,无,学分+2,active,2025-09-06T09:00:00Z,2025-09-06T09:00:00Z,NPC113,
NT014,法学院模拟法庭,参与模拟法庭辩论，提升口才与逻辑,学术研究,CityU Law School,22.3357,114.1698,初级,60,无,学分+2,active,2025-09-06T09:00:00Z,2025-09-06T09:00:00Z,NPC114,
NT015,艺术展览策展,协助布置艺术展览并进行解说,文化活动,CityU Gallery,22.3368,114.1725,初级,60,无,经验值,active,2025-09-06T09:00:00Z,2025-09-06T09:00:00Z,NPC115,
NT016,音乐厅排练,参加音乐厅的乐团排练,文化活动,CityU Concert Hall,22.3355,114.172,初级,60,无,经验值,active,2025-09-06T09:00:00Z,2025-09-06T09:00:00Z,NPC116,
NT017,泳池训练,完成规定的游泳课程并通过测试,体育锻炼,CityU Swimming Pool,22.3372,114.1711,初级,60,无,经验值,active,2025-09-06T09:00:00Z,2025-09-06T09:00:00Z,NPC117,
NT018,健康中心义诊,协助校医院为学生进行基础健康检查,志愿服务,CityU Health Centre,22.3361,114.1707,初级,60,无,经验值,active,2025-09-06T09:00:00Z,2025-09-06T09:00:00Z,NPC118,
NT019,创新创业讲座,参加创新创业讲座并完成签到,讲座活动,CityU Innovation Centre,22.3354,114.1714,初级,60,无,经验值,active,2025-09-06T09:00:00Z,2025-09-06T09:00:00Z,NPC119,
NT020,毕业典礼布置,协助布置毕业典礼现场，安排座位与装饰,志愿服务,CityU Chan Tai Ho Multi-purpose Hall,22.3366,114.1719,初级,60,无,经验值,active,2025-09-06T09:00:00Z,2025-09-06T09:00:00Z,NPC120,